date,title,qualifiers,sentiment_score,url,title_qualifier,comment_count
2024-08-09,My excellent Conversation with Paul Bloom,['excellent'],0.08356589147286825,https://marginalrevolution.com/marginalrevolution/2024/08/my-excellent-conversation-with-paul-bloom.html,excellent,0
2024-07-26,"My excellent Conversation with Alan Taylor, on American history","['excellent', 'great']",0.13863636363636364,https://marginalrevolution.com/marginalrevolution/2024/07/my-excellent-conversation-with-alan-taylor-on-american-history.html,excellent,0
2024-07-11,My excellent Conversation with Brian Winter,"['excellent', 'great', 'remarkable']",0.18791194255479968,https://marginalrevolution.com/marginalrevolution/2024/07/my-excellent-conversation-with-brian-winter.html,excellent,0
2024-06-27,My very good Conversation with Joseph Stiglitz,[],0.110015664160401,https://marginalrevolution.com/marginalrevolution/2024/06/my-very-good-conversation-with-joseph-stiglitz.html,,0
2024-06-13,My Conversation with Velina Tchakarova,['great'],0.115499751984127,https://marginalrevolution.com/marginalrevolution/2024/06/my-conversation-with-velina-tchakarova.html,,0
2024-05-30,My Conversation with the excellent Michael Nielsen,['excellent'],0.14399651274651273,https://marginalrevolution.com/marginalrevolution/2024/05/my-conversation-with-the-excellent-michael-nielsen.html,,0
2024-05-16,A Conversation on AI with my Son,[],0.16,https://marginalrevolution.com/marginalrevolution/2024/05/a-conversation-on-ai-with-my-son.html,,0
2024-05-16,My excellent Conversation with Benjamin Moser,"['excellent', 'fascinating', 'great']",0.10204772378159478,https://marginalrevolution.com/marginalrevolution/2024/05/my-excellent-conversation-with-benjamin-moser.html,excellent,0
2024-05-02,My Conversation with the excellent Coleman Hughes,"['excellent', 'wonderful']",0.1718478084415584,https://marginalrevolution.com/marginalrevolution/2024/05/my-conversation-with-the-excellent-coleman-hughes.html,,0
2024-04-18,My excellent Conversation with Peter Thiel,"['excellent', 'great']",0.13641875911612755,https://marginalrevolution.com/marginalrevolution/2024/04/my-excellent-conversation-with-peter-thiel.html,excellent,0
2024-04-04,My contentious Conversation with Jonathan Haidt,"['contentious', 'great']",0.17978928253318502,https://marginalrevolution.com/marginalrevolution/2024/04/my-contentious-conversation-with-jonathan-haidt.html,contentious,0
2024-03-28,My Conversation with Fareed Zakaria,"['excellent', 'great']",0.2538315870924566,https://marginalrevolution.com/marginalrevolution/2024/03/my-conversation-with-fareed-zakaria.html,,0
2024-03-21,My excellent Conversation with Marilynne Robinson,['excellent'],0.10507105213626956,https://marginalrevolution.com/marginalrevolution/2024/03/my-excellent-conversation-with-marilynne-robinson.html,excellent,0
2024-03-09,In Conversation with Próspera CEO Erick Brimen & Vitalia Co-Founder Niklas Anzinger,[],0.06709183673469388,https://marginalrevolution.com/marginalrevolution/2024/03/in-conversation-with-prospera-ceo-erick-brimen-vitalia-co-founder-niklas-anzinger.html,,0
2024-03-07,My excellent Conversation with Marc Rowan,['excellent'],0.14519600769600768,https://marginalrevolution.com/marginalrevolution/2024/03/my-excellent-conversation-with-marc-rowan.html,excellent,0
2024-02-23,My Conversation with the very excellent Masaaki Suzuki,['excellent'],0.18788932744815098,https://marginalrevolution.com/marginalrevolution/2024/02/my-conversation-with-the-very-excellent-masaaki-suzuki.html,,0
2024-02-08,My Conversation with the excellent Ami Vitale,"['excellent', 'great']",0.1011627906976744,https://marginalrevolution.com/marginalrevolution/2024/02/my-conversation-with-the-excellent-ami-vitale.html,,0
2024-01-26,My Conversation with Rebecca F. Kuang,[],0.13629692617787859,https://marginalrevolution.com/marginalrevolution/2024/01/my-conversation-with-rebecca-f-kuang.html,,0
2024-01-12,My Conversation with the excellent Patrick McKenzie,"['excellent', 'great']",0.03911232137038589,https://marginalrevolution.com/marginalrevolution/2024/01/my-conversation-with-the-excellent-patrick-mckenzie.html,,0
